Title	ID	Product Type	Size	Tooth Count	Zipper Tooth Type	Slider Type	Item Type	Kits Including	Add Zipper Kit Type	Regular price	SKU	Categories	Tags	Gallery	Slug	Catalog Visibility	Shipping class
#10 Metal Tooth Slider (Locking)	304	Zipper Parts	Size #10		Metal Tooth	Locking Sliders, Single Pull	Jackets & Coats	Moto - Zipper Rescue Kit®	Moto - Zipper Rescue Kit®	2.5	10M LK	Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #10, Filter by Type > Metal Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Metal Tooth, Size #10, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_10mm_single_locking.jpg	10-metal-tooth-slider	visible	Under $5
#4.5 Coil Slider (Locking)	356	Zipper Parts	Size #4.5		Coil	Locking Sliders, Single Pull	Jackets & Coats, Pants		Clothing - Zipper Rescue Kit®	1.5	4.5C LK	Filter by Size > Size #4.5, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Coil, Size #4.5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_4.5mm_single_locking_ID-356.jpg	4-5-coil-slider-locking	visible	Under $5
#5 Reverse Coil Slider (Locking)	361	Zipper Parts	Size #5		Coil, Reverse Coil	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats, Pants	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.5	5C REV LK	Filter Parts by Kit > Clothing Kit Parts, Filter by Type > Coil Sliders	Coil, Size #5, Slider - Locking, Slider - Reverse Coil, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2021/06/coil_reverse_5mm_single_locking_ID-.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Reverse-Coil.png	5-reverse-coil-slider-locking	visible	Under $5
#5 Coil Slider (Locking)	364	Zipper Parts	Size #5		Coil	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats, Pants, Purses & Small Bags	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.5	5C LK	Filter Parts by Kit > Clothing Kit Parts, Filter by Size > Size #5, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Coil, Size #5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_5mm_single_locking.jpg	5-coil-slider-locking	visible	Under $5
#10 Plastic Tooth Slider - Double Pull (Locking)	366	Zipper Parts	Size #10		Plastic Tooth	Double Pull, Locking Sliders	Boat Covers & Cushions, Tents & Canopies	Marine Kit Parts	Marine Kit	2.99	10V DP LK	Filter Parts by Kit > Marine Kit Parts, Filter by Size > Size #10, Filter by Type > Plastic Tooth Sliders, Filter by Type > Double Pull Sliders, Filter by Type > Locking Sliders	Plastic Tooth, Size #10, Slider - Double Pull, Slider - Locking	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_10mm_double_locking_v.jpg	10-plastic-tooth-slider-dp	visible	Under $5
#3 Plastic Tooth Slider (Locking)	375	Zipper Parts	Size #3		Plastic Tooth	Locking Sliders, Single Pull	Jackets & Coats	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.5	3V LK	Filter Parts by Kit > Clothing Kit Parts, Filter by Size > Size #3, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Plastic Tooth, Size #3, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_3mm_single_locking_vs.jpg	3-plastic-tooth-slider-locking	visible	Under $5
#3 Coil Slider (Locking)	376	Zipper Parts	Size #3		Coil	Locking Sliders, Single Pull	Dresses & Skirts, Jackets & Coats, Pants, Purses & Small Bags	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.25	3C LK	Filter Parts by Kit > Clothing Kit Parts, Filter by Size > Size #3, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Reverse Coil Sliders, Filter by Type > Locking Sliders	Coil, Size #3, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_3_single_locking.jpg	3-coil-slider-locking	visible	Under $5
#4.5 Metal Tooth Slider (Locking)	377	Zipper Parts	Size #4.5		Metal Tooth	Locking Sliders, Single Pull	Pants	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.25	4.5M LK	Filter Parts by Kit > Clothing Kit Parts, Filter by Type > Metal Tooth Sliders, Uncategorized	Metal Tooth, Size #4.5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_4.5mm_single_locking.jpg	4-5-metal-tooth-slider-locking	visible	Under $5
#5 Metal Tooth Slider (Locking)	378	Zipper Parts	Size #5		Metal Tooth	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats, Purses & Small Bags	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.5	5M LK	Filter Parts by Kit > Clothing Kit Parts, Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #5, Filter by Type > Metal Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Metal Tooth, Size #5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_5mm_single_locking.jpg	5-metal-tooth-slider-locking	visible	Under $5
#5 Coil Slider (Plastic)	379	Zipper Parts	Size #5		Coil	Plastic Sliders, Single Pull	Boat Covers & Cushions	Marine Kit Parts	Marine Kit	1.5	5C PL	Filter Parts by Kit > Marine Kit Parts, Filter by Size > Size #5, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Anti-Corrosive Plastic Sliders	Coil, Size #5, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_5mm_single_non-locking_marine.jpg	5-coil-slider-plastic	visible	Under $5
